id_do_df,variável,descrição da variável,classificação
D15,IncomeRange,The income range of the borrower at the time the listing was created.,SOCIOECONOMIC
D15,IncomeVerifiable,The borrower indicated they have the required documentation to support their income.,SOCIOECONOMIC
D15,StatedMonthlyIncome,The monthly income the borrower stated at the time the listing was created.,SOCIOECONOMIC
D15,LoanKey,Unique key for each loan. This is the same key that is used in the API.,UNCLASSIFIED
D15,TotalProsperLoans,Number of Prosper loans the borrower at the time they created this listing. This value will be null if the borrower had no prior loans.,INSTITUTIONAL and FINANCIAL
D15,TotalProsperPaymentsBilled,Number of on time payments the borrower made on Prosper loans at the time they created this listing. This value will be null if the borrower had no prior loans.,INSTITUTIONAL and FINANCIAL
D15,OnTimeProsperPayments,Number of on time payments the borrower had made on Prosper loans at the time they created this listing. This value will be null if the borrower has no prior loans.,INSTITUTIONAL and FINANCIAL
D15,ProsperPaymentsLessThanOneMonthLate,Number of payments the borrower made on Prosper loans that were less than one month late at the time they created this listing. This value will be null if the borrower had no prior loans.,INSTITUTIONAL and FINANCIAL
D15,ProsperPaymentsOneMonthPlusLate,Number of payments the borrower made on Prosper loans that were greater than one month late at the time they created this listing. This value will be null if the borrower had no prior loans.,INSTITUTIONAL and FINANCIAL
D15,ProsperPrincipalBorrowed,Total principal borrowed on Prosper loans at the time the listing was created. This value will be null if the borrower had no prior loans.,INSTITUTIONAL and FINANCIAL
D15,ProsperPrincipalOutstanding,Principal outstanding on Prosper loans at the time the listing was created. This value will be null if the borrower had no prior loans.,INSTITUTIONAL and FINANCIAL
D15,ScorexChangeAtTimeOfListing,Borrower's credit score change at the time the credit profile was pulled. This will be the change relative to the borrower's last Prosper loan. This value will be null if the borrower had no prior loans.,INSTITUTIONAL and FINANCIAL
D15,LoanCurrentDaysDelinquent,The number of days delinquent.,INSTITUTIONAL and FINANCIAL
D15,LoanFirstDefaultedCycleNumber,The cycle the loan was charged off. If the loan has not charged off the value will be null.,INSTITUTIONAL and FINANCIAL
